"Id","CityId","Address","Street","PostalCode"
"6","13","456","Szwedzka","11111"
"9","16","1","Mickiewicza","00001"
"10","15","7","Akademicka","35550"
"11","18","11","Architektów","35555"
"17","16","7","Rzeszowska","40546"
"18","25","87","Gagarina","85951"
"19","26","5","Marszałkowska","77965"
"20","27","7","Witosa","25698"
"21","28","17","Turkusowa","25425"
"22","29","65","Jasna","26758"
"23","18","52","Poznańska","75958"
"24","31","12","Niemiecka","23568"
"27","34","123","Lubelska","85963"
"28","23","23","Francuska","85963"
"29","17","71","Bydgoska","12546"
"30","18","52","Austriacka","25368"
"31","13","59","Turecka","96362"
"32","15","25","Amerykańska","35085"
"33","25","88","Sienkiewicza","81666"
"34","18","91","Słodowa","00123"
"35","16","11","Katowicka","89020"
"36","29","21","Chorzowska","21358"
"37","18","15","Ustronna","25693"
"38","19","15","Jesienna","55082"
"39","25","85","Cmentarna","99636"
"40","13","9","Zamkowa","22685"
"41","16","82","Podlaska","77441"
"42","18","7","Podhalańska","99644"
"43","29","9","Śląska","75955"
"44","16","25","Karkonoska","22338"
"45","31","8","Złota","23658"
